linha;sentido;hora;dia
64100;Partida: Antônio Carlos;12:25;UTIL
64100;Partida: Antônio Carlos;17:00;UTIL
64100;Partida: Antônio Carlos;18:10;UTIL
64100;Partida: Antônio Carlos;22:00;UTIL
64100;Partida: Viaduto Janaína - Biguaçu;06:10;UTIL
64100;Partida: Viaduto Janaína - Biguaçu;06:30;UTIL
64100;Partida: Viaduto Janaína - Biguaçu;11:55;UTIL
64100;Partida: Viaduto Janaína - Biguaçu;12:55;UTIL
64100;Partida: Viaduto Janaína - Biguaçu;17:15;UTIL
64100;Partida: Viaduto Janaína - Biguaçu;23:20;UTIL
10500;Partida: Antônio Carlos;05:00;UTIL
10500;Partida: Antônio Carlos;05:35;UTIL
10500;Partida: Antônio Carlos;06:20;UTIL
10500;Partida: Antônio Carlos;07:05;UTIL
10500;Partida: Antônio Carlos;07:30;UTIL
10500;Partida: Antônio Carlos;09:00;UTIL
10500;Partida: Antônio Carlos;10:30;UTIL
10500;Partida: Antônio Carlos;11:40;UTIL
10500;Partida: Antônio Carlos;13:10;UTIL
10500;Partida: Antônio Carlos;14:00;UTIL
10500;Partida: Antônio Carlos;15:20;UTIL
10500;Partida: Antônio Carlos;17:00;UTIL
10500;Partida: Antônio Carlos;18:30;UTIL
10500;Partida: Antônio Carlos;22:00;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;05:45;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;06:10;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;07:40;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;09:00;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;10:10;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;11:00;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;12:30;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;14:05;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;15:30;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;16:50;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;18:00;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;19:00;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;20:10;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;21:50;UTIL
10500;Partida: TICEN - Plataforma D - Fpolis;23:00;UTIL
10500;Partida: Antônio Carlos;05:40;SABADO
10500;Partida: Antônio Carlos;08:30;SABADO
10500;Partida: Antônio Carlos;12:00;SABADO
10500;Partida: Antônio Carlos;15:00;SABADO
10500;Partida: TICEN - Plataforma D - Fpolis;07:00;SABADO
10500;Partida: TICEN - Plataforma D - Fpolis;10:45;SABADO
10500;Partida: TICEN - Plataforma D - Fpolis;13:20;SABADO
10500;Partida: TICEN - Plataforma D - Fpolis;18:05;SABADO
10500;Partida: Antônio Carlos;06:40;DOMINGO_FERIADO
10500;Partida: Antônio Carlos;17:00;DOMINGO_FERIADO
10500;Partida: TICEN - Plataforma D - Fpolis;08:00;DOMINGO_FERIADO
10500;Partida: TICEN - Plataforma D - Fpolis;19:00;DOMINGO_FERIADO
970000;Partida: Antonio Carlos - Colegio Altamiro Guimarães;06:35;UTIL
970000;Partida: Antonio Carlos - Colegio Altamiro Guimarães;11:35;UTIL
11302;Partida: Bairro Araucária - São José;05:35;UTIL
11302;Partida: Bairro Araucária - São José;05:55;UTIL
11302;Partida: Bairro Araucária - São José;06:10;UTIL
11302;Partida: Bairro Araucária - São José;06:30;UTIL
11302;Partida: Bairro Araucária - São José;07:20;UTIL
11302;Partida: Bairro Araucária - São José;08:00;UTIL
11302;Partida: Bairro Araucária - São José;08:35;UTIL
11302;Partida: Bairro Araucária - São José;09:00;UTIL
11302;Partida: Bairro Araucária - São José;12:25;UTIL
11302;Partida: Bairro Araucária - São José;13:00;UTIL
11302;Partida: Bairro Araucária - São José;18:10;UTIL
11302;Partida: TICEN - Plataforma D - Fpolis;08:30;UTIL
11302;Partida: TICEN - Plataforma D - Fpolis;11:45;UTIL
11302;Partida: TICEN - Plataforma D - Fpolis;12:20;UTIL
11302;Partida: TICEN - Plataforma D - Fpolis;17:10;UTIL
11302;Partida: TICEN - Plataforma D - Fpolis;17:20;UTIL
11302;Partida: TICEN - Plataforma D - Fpolis;18:15;UTIL
11302;Partida: TICEN - Plataforma D - Fpolis;18:30;UTIL
11302;Partida: TICEN - Plataforma D - Fpolis;19:15;UTIL
11302;Partida: Bairro Araucária - São José;06:30;SABADO
11302;Partida: Bairro Araucária - São José;08:00;SABADO
11302;Partida: Bairro Araucária - São José;11:35;SABADO
11302;Partida: TICEN - Plataforma D - Fpolis;13:00;SABADO
10301;Partida: Biguaçu;06:35;UTIL
10301;Partida: Biguaçu;09:40;UTIL
10300;Partida: Armação da Piedade - G C Ramos;04:45;UTIL
10300;Partida: Armação da Piedade - G C Ramos;08:00;UTIL
10300;Partida: Armação da Piedade - G C Ramos;11:30;UTIL
10300;Partida: TICEN - Plataforma D - Fpolis;06:10;UTIL
10300;Partida: TICEN - Plataforma D - Fpolis;09:15;UTIL
84500;Partida: Bairro Avenida das Torres - São José;05:50;UTIL
84500;Partida: Bairro Avenida das Torres - São José;06:05;UTIL
84500;Partida: Bairro Avenida das Torres - São José;06:15;UTIL
84500;Partida: Bairro Avenida das Torres - São José;06:30;UTIL
84500;Partida: Bairro Avenida das Torres - São José;07:20;UTIL
84500;Partida: Bairro Avenida das Torres - São José;08:00;UTIL
84500;Partida: Bairro Avenida das Torres - São José;09:00;UTIL
84500;Partida: Bairro Avenida das Torres - São José;11:50;UTIL
84500;Partida: Bairro Avenida das Torres - São José;13:35;UTIL
84500;Partida: Bairro Avenida das Torres - São José;16:20;UTIL
84500;Partida: Bairro Avenida das Torres - São José;18:10;UTIL
84500;Partida: TICEN - Plataforma D - Fpolis;11:00;UTIL
84500;Partida: TICEN - Plataforma D - Fpolis;12:45;UTIL
84500;Partida: TICEN - Plataforma D - Fpolis;15:30;UTIL
84500;Partida: TICEN - Plataforma D - Fpolis;17:20;UTIL
84500;Partida: TICEN - Plataforma D - Fpolis;18:25;UTIL
84500;Partida: TICEN - Plataforma D - Fpolis;18:55;UTIL
84500;Partida: TICEN - Plataforma D - Fpolis;19:20;UTIL
84500;Partida: TICEN - Plataforma D - Fpolis;20:10;UTIL
84500;Partida: TICEN - Plataforma D - Fpolis;22:10;UTIL
84500;Partida: Bairro Avenida das Torres - São José;07:00;SABADO
84500;Partida: Bairro Avenida das Torres - São José;08:40;SABADO
84500;Partida: Bairro Avenida das Torres - São José;12:15;SABADO
84500;Partida: TICEN - Plataforma D - Fpolis;08:00;SABADO
84500;Partida: TICEN - Plataforma D - Fpolis;11:40;SABADO
84500;Partida: TICEN - Plataforma D - Fpolis;12:15;SABADO
84500;Partida: TICEN - Plataforma D - Fpolis;13:10;SABADO
84500;Partida: TICEN - Plataforma D - Fpolis;18:20;SABADO
84500;Partida: Bairro Avenida das Torres - São José;07:00;DOMINGO_FERIADO
84500;Partida: Bairro Avenida das Torres - São José;08:40;DOMINGO_FERIADO
84500;Partida: Bairro Avenida das Torres - São José;12:15;DOMINGO_FERIADO
84500;Partida: TICEN - Plataforma D - Fpolis;08:00;DOMINGO_FERIADO
84500;Partida: TICEN - Plataforma D - Fpolis;11:40;DOMINGO_FERIADO
84500;Partida: TICEN - Plataforma D - Fpolis;13:10;DOMINGO_FERIADO
10400;Partida: Bairro Ipiranga - São José;04:50;UTIL
10400;Partida: Bairro Ipiranga - São José;05:30;UTIL
10400;Partida: Bairro Ipiranga - São José;05:45;UTIL
10400;Partida: Bairro Ipiranga - São José;05:55;UTIL
10400;Partida: Bairro Ipiranga - São José;06:05;UTIL
10400;Partida: Bairro Ipiranga - São José;06:15;UTIL
10400;Partida: Bairro Ipiranga - São José;06:25;UTIL
10400;Partida: Bairro Ipiranga - São José;06:40;UTIL
10400;Partida: Bairro Ipiranga - São José;06:55;UTIL
10400;Partida: Bairro Ipiranga - São José;07:00;UTIL
