empresa;codigo;nome;detalhe;executivo;url
biguacu;10501;Executivo Antônio Carlos;;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10501
biguacu;10401;Executivo Bairro Ipiranga;Via Estreito;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10401
biguacu;43103;Executivo Bela Vista;;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43103
biguacu;76403;Executivo Biguaçu;Via BR-101/marginais e Estreito;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=76403
biguacu;76404;Executivo Biguaçu (Via Fundos);Via BR101-Marginas/Estreito;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=76404
biguacu;8801;Executivo Biguaçu Palhoça;Vias_Br101_e marginais;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=8801
biguacu;9902;Executivo Dona Adélia;Via Estreito;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=9902
biguacu;43404;Executivo Dona Wanda;Via BR-101/marginais e Estreito;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43404
biguacu;44701;Executivo Governador Celso Ramos;Via Estreito;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44701
biguacu;76405;Executivo Praia J Rosa;Via BR-101/marginais e Estreito;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=76405
biguacu;14601;Executivo Zenaide;;True;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=14601
biguacu;64100;Antônio Carlos / Biguaçu;Até Viaduto Janaína;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=64100
biguacu;10500;Antônio Carlos / Florianópolis;Via SC-407-BR 101-Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10500
biguacu;970000;Antonio Carlos / Guiomar;Via Canudos/Guiomar - municipais;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=970000
biguacu;11302;Araucária;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=11302
biguacu;10301;Armação da Piedade;Partida Biguaçu_|Viaduto Janaina sentido Biguaçu;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10301
biguacu;10300;Armação da Piedade / Florianópolis;Via SC-410-BR-101-Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10300
biguacu;84500;Avenida das Torres;Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=84500
biguacu;10400;Bairro Ipiranga;Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10400
biguacu;66800;Bairro Ipiranga Via Expressa;Via Expressa;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=66800
biguacu;10200;Bairro São Pedro;Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10200
biguacu;44200;Barreiros;Via Suvec-Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44200
biguacu;60100;Barreiros Via Expressa;Via Expressa;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=60100
biguacu;43100;Bela Vista;Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43100
biguacu;43101;Bela Vista;Via Floresta;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43101
biguacu;43102;Bela Vista;Via Floresta e Expressa;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43102
biguacu;43201;Bela Vista 2-(Avenida das Torres);Via Expressa;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43201
biguacu;55900;Bela Vista Via Expressa;Via Expressa;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=55900
biguacu;44300;Biguaçu;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44300
biguacu;8800;Biguaçu / Palhoça;Via BR 101;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=8800
biguacu;55700;Biguaçu Via Expressa;Via Expressa;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=55700
biguacu;10000;Bom Viver;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10000
biguacu;900056;Bom Viver / Biguaçu;Via Bairro Janaína, Praia João Rosa e UPA;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=900056
biguacu;10001;Bom Viver Via Expressa;Via Expressa(BR282);False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10001
biguacu;900003;Bom Viver/Maria da Gloria;Atendimento Colegios Biguaçu;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=900003
biguacu;14600;Catarina;Via Leoberto Leal e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=14600
biguacu;43500;Ceasa;Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43500
biguacu;90900;Circular Barreiros;Via Rodovias Municipais, marginais BR 101;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=90900
biguacu;900006;Circular Biguaçu Municipal;Via Praia João Rosa e UPA;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=900006
biguacu;900007;Circular Fundos;"Arendimento Cicob_Via Praia J Rosa;";False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=900007
biguacu;80001;Circular Governador Celso Ramos;Sentido Ida_Via Jordão Sentido volta_via Areias Baixo;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=80001
biguacu;900001;Colegio Roldão / ViadutoJanaina;Via Saudade/Praça Biguaçu/Marginal/`Posto Petrus;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=900001
biguacu;90800;Diretão;Vias Municipais;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=90800
biguacu;9900;Dona Adélia;Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=9900
biguacu;9901;Dona Adélia Via Expressa;Via Expressa;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=9901
biguacu;43402;Dona Wanda;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43402
biguacu;43403;Dona Wanda Via Expressa;Via Expressa(BR 282);False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43403
