codigo;nome;detalhe;executivo
64100;Antônio Carlos / Biguaçu;Até Viaduto Janaína;False
10500;Antônio Carlos / Florianópolis;Via SC-407-BR 101-Estreito;False
970000;Antonio Carlos / Guiomar;Via Canudos/Guiomar - municipais;False
11302;Araucária;Via BR-101/marginais e Estreito;False
10301;Armação da Piedade;Partida Biguaçu_|Viaduto Janaina sentido Biguaçu;False
10300;Armação da Piedade / Florianópolis;Via SC-410-BR-101-Estreito;False
84500;Avenida das Torres;Via Estreito;False
10400;Bairro Ipiranga;Via Estreito;False
66800;Bairro Ipiranga Via Expressa;Via Expressa;False
10200;Bairro São Pedro;Via Estreito;False
44200;Barreiros;Via Suvec-Estreito;False
60100;Barreiros Via Expressa;Via Expressa;False
43100;Bela Vista;Via Estreito;False
43101;Bela Vista;Via Floresta;False
43102;Bela Vista;Via Floresta e Expressa;False
43201;Bela Vista 2-(Avenida das Torres);Via Expressa;False
55900;Bela Vista Via Expressa;Via Expressa;False
44300;Biguaçu;Via BR-101/marginais e Estreito;False
8800;Biguaçu / Palhoça;Via BR 101;False
55700;Biguaçu Via Expressa;Via Expressa;False
10000;Bom Viver;Via BR-101/marginais e Estreito;False
900056;Bom Viver / Biguaçu;Via Bairro Janaína, Praia João Rosa e UPA;False
10001;Bom Viver Via Expressa;Via Expressa(BR282);False
900003;Bom Viver/Maria da Gloria;Atendimento Colegios Biguaçu;False
14600;Catarina;Via Leoberto Leal e Estreito;False
43500;Ceasa;Via Estreito;False
90900;Circular Barreiros;Via Rodovias Municipais, marginais BR 101;False
900006;Circular Biguaçu Municipal;Via Praia João Rosa e UPA;False
900007;Circular Fundos;"Arendimento Cicob_Via Praia J Rosa;";False
80001;Circular Governador Celso Ramos;Sentido Ida_Via Jordão Sentido volta_via Areias Baixo;False
900001;Colegio Roldão / ViadutoJanaina;Via Saudade/Praça Biguaçu/Marginal/`Posto Petrus;False
90800;Diretão;Vias Municipais;False
9900;Dona Adélia;Via Estreito;False
9901;Dona Adélia Via Expressa;Via Expressa;False
43402;Dona Wanda;Via BR-101/marginais e Estreito;False
43403;Dona Wanda Via Expressa;Via Expressa(BR 282);False
920000;Egito / Antônio Carlos;Via Santa Maria;False
44304;Fazendinha - Biguaçu;Via Rodovias municipais;False
2200;Floresta;Via Av. Central do Kobrasol;False
66900;Floresta Via Expressa;Via Expressa;False
76400;Fundos;Via Jardim Carandaí(Biguaçu)-Via Estreito(Fpolis);False
44600;Governador Celso Ramos / Florianópolis;Via SC-410-Via Estreito;False
44700;Governador Celso Ramos / Florianópolis;Via SC-410, BR-101, Via Estreito;False
54600;Governador Celso Ramos/Biguaçu;Viaduto Janaína;False
44201;Heriberto Hulse;Via Estreito;False
900020;Janaina(Mar das Pedras) - Colegio Eloisa;Rodovias Municipais(Atendimento Colegios);False
75900;Jardim das Acácias;Via Estreito;False
43400;Jardim Janaína;Via BR-101/marginais e Estreito;False
43401;Jardim Janaína;Via Expressa(BR 282);False
11300;Jardim Zanellato;Via BR-101/marginais e Estreito;False
11301;Jardim Zanellato;Via Expressa(BR 282);False
10002;José Nitro;Via BR-101/marginais e Estreito;False
900002;Morro Boa Vista / Maria da Gloria;Via Rodovias Municipais (Atendimento Colegios);False
43302;Palmas / Biguaçu;Até Viaduto Janaína;False
43300;Palmas / Florianópolis;Via BR-101/marginais e Estreito;False
10901;Prado;Via BR-101/marginais e Estreito;False
44301;Praia João Rosa;Via BR-101/marginais e Estreito;False
910000;Rachadel / Antônio Carlos;Até Vila 12;False
67200;Roçado;Via Estreito;False
64001;Rua Santo Antônio;Via Santo Antônio e Santos Dumont;False
10502;Russia - Biguaçu;Via rodovias municipais;False
10900;São Miguel;Estiva-Via BR 101-Estreito;False
10902;São Miguel - Biguaçu;Atendimento Colegio Conego e rodovias municipais;False
69500;São Pedro Via Expressa;Via Expressa;False
44303;Saudade;Via BR-101/marginais e Estreito;False
90700;Serraria / Forquilhinhas;Via Bela Vista, Kobrasol, e Hospital;False
12400;Shopping Center Itaguaçu;Via Estreito_Via Floresta;False
64200;Sorocaba;Via BR101 - Via Estreito;False
64201;Sorocaba / Biguaçu;Até Viaduto Janaína;False
44801;Três Riachos / Biguaçu;Até Viaduto Janaína;False
44800;Três Riachos / Florianópolis;Via: Estrada Geral Tres Riachos, BR-101, Estreito;False
10501;Executivo Antônio Carlos;;True
10401;Executivo Bairro Ipiranga;Via Estreito;True
43103;Executivo Bela Vista;;True
76403;Executivo Biguaçu;Via BR-101/marginais e Estreito;True
76404;Executivo Biguaçu (Via Fundos);Via BR101-Marginas/Estreito;True
8801;Executivo Biguaçu Palhoça;Vias_Br101_e marginais;True
9902;Executivo Dona Adélia;Via Estreito;True
43404;Executivo Dona Wanda;Via BR-101/marginais e Estreito;True
44701;Executivo Governador Celso Ramos;Via Estreito;True
76405;Executivo Praia J Rosa;Via BR-101/marginais e Estreito;True
14601;Executivo Zenaide;;True
